WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
SY6V1E,Gold,Put,"10,000000:1","2080,000000 USD",19.12.2025 00:00:00,"1816,2269","3982,055 USD","0,0140","0,1900",-,-
SY6V1X,Gold,Put,"10,000000:1","2250,000000 USD",19.12.2025 00:00:00,"1816,2726","3982,055 USD","0,0140","0,1900",-,-
SY6V1S,Gold,Put,"10,000000:1","2200,000000 USD",19.12.2025 00:00:00,"1816,2498","3982,055 USD","0,0140","0,1900",-,-
SY6V14,Gold,Put,"10,000000:1","2320,000000 USD",19.12.2025 00:00:00,"1816,2726","3982,055 USD","0,0140","0,1900",-,-
FD2T4N,Gold,Call,"10,000000:1","4540,000000 USD",19.12.2025 00:00:00,"363,1678","3982,055 USD","0,8500","0,9500",-,-
FD2T42,Gold,Call,"10,000000:1","4820,000000 USD",19.12.2025 00:00:00,"884,4176","3982,055 USD","0,2400","0,3900",-,-
FD2T6B,Gold,Put,"10,000000:1","4600,000000 USD",19.12.2025 00:00:00,"6,4237","3982,055 USD","53,3700","53,6900",-,-
SY6VYN,Gold,Call,"10,000000:1","2340,000000 USD",19.12.2025 00:00:00,"2,4047","3982,055 USD","143,5300","143,4600",-,-
SY6VY5,Gold,Call,"10,000000:1","2510,000000 USD",19.12.2025 00:00:00,"2,6784","3982,055 USD","128,8800","128,8000",-,-
FA5UWW,Gold,Put,"10,000000:1","3740,000000 USD",19.12.2025 00:00:00,"149,9890","3982,055 USD","2,1800","2,3000",-,-
FD2T4T,Gold,Call,"10,000000:1","4640,000000 USD",19.12.2025 00:00:00,"522,8728","3982,055 USD","0,5400","0,6600",-,-
FD2T4Y,Gold,Call,"10,000000:1","4740,000000 USD",19.12.2025 00:00:00,"718,8419","3982,055 USD","0,3400","0,4800",-,-
FD2T48,Gold,Call,"10,000000:1","4940,000000 USD",19.12.2025 00:00:00,"1150,2625","3982,055 USD","0,1400","0,3000",-,-
SY6VZE,Gold,Call,"10,000000:1","2600,000000 USD",19.12.2025 00:00:00,"2,8502","3982,055 USD","121,1200","121,0400",-,-
SY6VZX,Gold,Call,"10,000000:1","2770,000000 USD",19.12.2025 00:00:00,"3,2427","3982,055 USD","106,4600","106,3800",-,-
SY6VZS,Gold,Call,"10,000000:1","2720,000000 USD",19.12.2025 00:00:00,"3,1167","3982,055 USD","110,7700","110,6900",-,-
SY6VZ2,Gold,Call,"10,000000:1","2820,000000 USD",19.12.2025 00:00:00,"3,3800","3982,055 USD","102,1500","102,0700",-,-
SJ1C2X,Gold,Call,"10,000000:1","3200,000000 USD",19.12.2025 00:00:00,"4,9781","3982,055 USD","69,4000","69,3000",-,-
SJ1C20,Gold,Call,"10,000000:1","3260,000000 USD",19.12.2025 00:00:00,"5,3778","3982,055 USD","64,2500","64,1600",-,-
SX1BY1,Gold,Put,"10,000000:1","3100,000000 USD",19.12.2025 00:00:00,"1725,5508","3982,055 USD","0,0200","0,2000",-,-
SX5ERN,Gold,Call,"10,000000:1","3600,000000 USD",19.12.2025 00:00:00,"9,7482","3982,055 USD","35,5100","35,3900",-,-
SY6VZM,Gold,Call,"10,000000:1","2670,000000 USD",19.12.2025 00:00:00,"2,9997","3982,055 USD","115,0800","115,0000",-,-
SY6VZH,Gold,Call,"10,000000:1","2630,000000 USD",19.12.2025 00:00:00,"2,9125","3982,055 USD","118,5300","118,4500",-,-
SY6VZ5,Gold,Call,"10,000000:1","2850,000000 USD",19.12.2025 00:00:00,"3,4683","3982,055 USD","99,5600","99,4800",-,-
FD2T5T,Gold,Put,"10,000000:1","4240,000000 USD",19.12.2025 00:00:00,"14,1033","3982,055 USD","24,2100","24,4600",-,-
FD2T5Y,Gold,Put,"10,000000:1","4340,000000 USD",19.12.2025 00:00:00,"10,7499","3982,055 USD","31,8000","32,0800",-,-
FD2T5A,Gold,Call,"10,000000:1","4980,000000 USD",19.12.2025 00:00:00,"1189,6152","3982,055 USD","0,1200","0,2900",-,-
FD2T59,Gold,Put,"10,000000:1","4560,000000 USD",19.12.2025 00:00:00,"6,8609","3982,055 USD","49,9600","50,2700",-,-
FD2T6C,Gold,Put,"10,000000:1","4620,000000 USD",19.12.2025 00:00:00,"6,2234","3982,055 USD","55,0900","55,4200",-,-
SY6V1K,Gold,Put,"10,000000:1","2130,000000 USD",19.12.2025 00:00:00,"1816,3669","3982,055 USD","0,0140","0,1900",-,-
SY6V1F,Gold,Put,"10,000000:1","2090,000000 USD",19.12.2025 00:00:00,"1816,3441","3982,055 USD","0,0140","0,1900",-,-
SY6V15,Gold,Put,"10,000000:1","2330,000000 USD",19.12.2025 00:00:00,"1816,2985","3982,055 USD","0,0140","0,1900",-,-
FD0UDF,Gold,Call,"10,000000:1","4260,000000 USD",19.12.2025 00:00:00,"112,0021","3982,055 USD","3,0600","3,0800",-,-
FD0UDK,Gold,Call,"10,000000:1","4340,000000 USD",19.12.2025 00:00:00,"158,9948","3982,055 USD","2,1200","2,1700",-,-
SJ1M0J,Gold,Call,"10,000000:1","3400,000000 USD",19.12.2025 00:00:00,"6,6101","3982,055 USD","52,2900","52,1900",-,-
FD1SAF,Gold,Put,"10,000000:1","4040,000000 USD",19.12.2025 00:00:00,"29,4340","3982,055 USD","11,5600","11,7100",-,-
FD1SAK,Gold,Put,"10,000000:1","4120,000000 USD",19.12.2025 00:00:00,"21,1636","3982,055 USD","16,1000","16,2800",-,-
SX1BYW,Gold,Call,"10,000000:1","3440,000000 USD",19.12.2025 00:00:00,"7,0693","3982,055 USD","48,9100","48,8000",-,-
SX6EM2,Gold,Put,"10,000000:1","3300,000000 USD",19.12.2025 00:00:00,"1437,6503","3982,055 USD","0,0740","0,2400",-,-
FA5N3T,Gold,Put,"10,000000:1","3700,000000 USD",19.12.2025 00:00:00,"192,7430","3982,055 USD","1,6800","1,7900",-,-
SY7Y9P,Gold,Put,"10,000000:1","2760,000000 USD",19.12.2025 00:00:00,"1816,3441","3982,055 USD","0,0140","0,1900",-,-
SY6V0N,Gold,Put,"10,000000:1","1820,000000 USD",19.12.2025 00:00:00,"1816,3213","3982,055 USD","0,0140","0,1900",-,-
SY6V03,Gold,Put,"10,000000:1","1970,000000 USD",19.12.2025 00:00:00,"1816,2985","3982,055 USD","0,0140","0,1900",-,-
FA0LM9,Gold,Put,"10,000000:1","3640,000000 USD",19.12.2025 00:00:00,"280,5241","3982,055 USD","1,1100","1,2300",-,-
SY6V1D,Gold,Put,"10,000000:1","2070,000000 USD",19.12.2025 00:00:00,"1816,3441","3982,055 USD","0,0140","0,1900",-,-
