WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FD24DM,DAX 40,Put,"100,000000:1","24125,000000 PKT",07.11.2025 00:00:00,"70,5968","23792,82 PKT","3,3600","0,0000",Mittagsauktion,-
FD24D1,DAX 40,Put,"100,000000:1","24475,000000 PKT",07.11.2025 00:00:00,"34,7801","23792,82 PKT","6,8100","0,0000",Mittagsauktion,-
FD24AP,DAX 40,Call,"100,000000:1","26425,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AU,DAX 40,Put,"100,000000:1","21750,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AB,DAX 40,Call,"100,000000:1","26125,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24A3,DAX 40,Put,"100,000000:1","21975,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD2386,DAX 40,Call,"100,000000:1","25150,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD238W,DAX 40,Call,"100,000000:1","24900,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD238R,DAX 40,Call,"100,000000:1","24775,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD238D,DAX 40,Call,"100,000000:1","24475,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24DS,DAX 40,Put,"100,000000:1","24250,000000 PKT",07.11.2025 00:00:00,"51,7166","23792,82 PKT","4,5700","0,0000",Mittagsauktion,-
FD24DX,DAX 40,Put,"100,000000:1","24375,000000 PKT",07.11.2025 00:00:00,"40,7357","23792,82 PKT","5,8100","0,0000",Mittagsauktion,-
FD24DE,DAX 40,Put,"100,000000:1","23950,000000 PKT",07.11.2025 00:00:00,"130,0035","23792,82 PKT","1,8200","0,0000",Mittagsauktion,-
FD24D7,DAX 40,Put,"100,000000:1","24625,000000 PKT",07.11.2025 00:00:00,"28,5247","23792,82 PKT","8,3100","0,0000",Mittagsauktion,-
FD2368,DAX 40,Call,"100,000000:1","23500,000000 PKT",07.11.2025 00:00:00,"78,2587","23792,82 PKT","3,0600","0,0000",Mittagsauktion,-
FD236U,DAX 40,Call,"100,000000:1","23150,000000 PKT",07.11.2025 00:00:00,"37,0002","23792,82 PKT","6,4500","0,0000",Mittagsauktion,-
FD236P,DAX 40,Call,"100,000000:1","23025,000000 PKT",07.11.2025 00:00:00,"31,0178","23792,82 PKT","7,7000","0,0000",Mittagsauktion,-
FD236B,DAX 40,Call,"100,000000:1","22725,000000 PKT",07.11.2025 00:00:00,"22,2972","23792,82 PKT","10,6800","0,0000",Mittagsauktion,-
